,County,2005,2006,2007,2008    ,2009,2010,2011,2012,2013,2014,State
50,Montgomery County,4.6     ,4.2     ,4.1,5.9,10.5,10.0,9.7,8.0,7.3,6.9,AL
51,Morgan County,4.5     ,4.0     ,3.5,5.2,10.8,10.8,9.4,7.8,6.9,6.6,AL
52,Perry County,9.1     ,8.4     ,8.4,11.3,19.9,16.8,16.7,13.5,13.7,12.4,AL
53,Pickens County,5.4     ,5.1     ,5.0,7.1,13.7,13.1,12.1,10.2,9.3,8.2,AL
54,Pike County,4.1     ,4.0     ,4.0,4.9,9.5,9.4,8.9,8.0,7.7,7.3,AL
55,Randolph County,6.2     ,5.3     ,5.1,7.3,14.9,13.4,11.5,9.2,7.8,6.9,AL
56,Russell County,6.0     ,5.9     ,6.1,8.0,12.3,10.9,10.3,8.8,7.3,6.6,AL
57,St. Clair County,4.0     ,3.5     ,3.4,5.0,10.9,10.1,8.7,6.9,6.2,5.8,AL
58,Shelby County,3.1     ,2.7     ,2.6,3.7,7.8,7.1,6.3,5.1,4.7,4.5,AL
59,Sumter County,7.3     ,6.8     ,6.5,8.7,14.9,13.3,13.3,10.6,9.2,8.9,AL
60,Talladega County,4.8     ,5.2     ,5.2,7.2,14.4,13.5,11.7,9.4,8.4,7.7,AL
61,Tallapoosa County,4.5     ,5.1     ,5.3,7.2,13.6,13.1,11.5,8.6,8.1,7.7,AL
62,Tuscaloosa County,3.7     ,3.3     ,3.3,4.7,10.2,9.2,8.4,7.0,6.4,6.0,AL
63,Walker County,4.4     ,4.6     ,4.3,5.7,11.6,12.7,11.3,9.0,8.2,7.7,AL
64,Washington County,6.2     ,5.8     ,5.9,8.4,15.1,14.2,14.7,12.1,11.0,9.9,AL
65,Wilcox County,9.3     ,8.7     ,9.7,14.0,26.0,26.3,23.3,20.1,19.6,17.4,AL
66,Winston County,5.1     ,4.9     ,5.6,8.7,17.7,16.0,13.6,10.1,9.5,8.8,AL
67,Aleutians East Borough,9.6     ,8.5     ,8.0,8.7,9.9,5.6,6.2,7.0,6.4,4.6,AK
68,Aleutians West Census Area,5.7     ,5.7     ,5.4,5.8,7.0,5.1,5.8,7.0,7.0,4.9,AK
69,Anchorage Borough/municipality,5.5     ,5.3     ,5.1,5.4,6.5,6.6,6.0,5.4,5.2,5.1,AK
70,Bethel Census Area,12.8     ,13.2     ,12.8,13.9,14.1,14.6,15.0,15.4,16.1,16.0,AK
71,Bristol Bay Borough,5.9     ,5.4     ,4.7,4.9,4.8,9.7,8.9,9.6,8.6,8.0,AK
72,Denali Borough,6.5     ,5.8     ,6.2,6.1,8.3,11.9,13.6,13.7,12.3,10.1,AK
73,Dillingham Census Area,10.7     ,9.6     ,9.1,9.3,10.2,10.1,10.5,9.9,10.1,9.9,AK
74,Fairbanks North Star Borough,5.8     ,5.7     ,5.6,6.1,7.1,6.6,6.5,6.1,5.8,5.7,AK
75,Haines Borough,9.0     ,8.1     ,7.4,8.8,9.0,10.6,10.0,10.0,9.9,10.5,AK
76,Juneau Borough/city,5.3     ,4.8     ,4.5,4.8,5.9,5.9,5.5,5.1,5.0,5.1,AK
77,Kenai Peninsula Borough,8.8     ,8.2     ,7.9,8.2,9.8,10.0,9.5,8.6,7.9,7.8,AK
78,Ketchikan Gateway Borough,6.7     ,6.1     ,5.7,5.9,7.1,8.7,8.5,7.9,7.5,7.6,AK
79,Kodiak Island Borough,8.3     ,7.5     ,6.3,6.8,7.1,7.4,7.4,6.7,6.2,5.7,AK
80,Lake and Peninsula Borough,7.3     ,6.1     ,5.5,6.9,8.1,14.4,14.6,14.3,14.4,15.4,AK
81,Matanuska-Susitna Borough,7.6     ,7.5     ,7.2,7.6,8.9,9.4,9.1,8.6,8.2,8.0,AK
82,Nome Census Area,12.4     ,12.1     ,11.1,10.4,11.7,12.6,12.3,11.7,12.2,12.1,AK
83,North Slope Borough,9.0     ,6.9     ,5.4,4.2,4.7,8.0,7.5,7.5,7.1,5.8,AK
84,Northwest Arctic Borough,11.9     ,11.3     ,10.8,11.6,11.9,13.4,15.4,15.7,16.3,16.7,AK
85,Prince of Wales-Outer Ketchikan Census Area,13.1     ,14.3     ,13.6,13.8,15.2,,,,,,AK
86,Sitka Borough/city,5.6     ,5.4     ,5.1,5.8,6.2,6.3,6.1,5.7,5.4,5.1,AK
87,Skagway-Hoonah-Angoon Census Area,13.3     ,12.7     ,12.5,12.9,14.7,,,,,,AK
88,Southeast Fairbanks Census Area,10.5     ,10.7     ,8.7,8.8,9.6,11.9,12.3,12.8,12.9,13.0,AK
89,Valdez-Cordova Census Area,9.5     ,8.5     ,8.4,8.4,8.5,9.4,9.8,9.7,9.8,9.5,AK
90,Wade Hampton Census Area,20.9     ,20.8     ,20.4,20.6,20.8,20.4,21.1,22.1,23.6,23.7,AK
91,Wrangell-Petersburg Census Area,10.1     ,9.6     ,9.6,10.7,10.4,,,,,,AK
92,Yakutat Borough/city,10.6     ,9.6     ,6.8,7.5,11.5,10.8,10.6,9.7,9.4,9.7,AK
93,Yukon-Koyukuk Census Area,11.7     ,13.1     ,13.8,14.1,14.1,17.2,18.4,17.4,18.2,18.7,AK
94,Apache County,10.5     ,10.0     ,8.8,11.6,15.8,16.4,18.5,19.1,18.5,16.0,AZ
95,Cochise County,4.8     ,4.5     ,4.1,5.9,8.0,9.3,9.5,9.0,9.0,8.4,AZ
96,Coconino County,4.9     ,4.4     ,3.7,5.6,8.5,9.9,9.6,8.6,8.1,7.2,AZ
97,Gila County,5.9     ,5.2     ,4.3,6.5,11.4,12.5,11.6,10.2,9.5,8.4,AZ
98,Graham County,6.0     ,5.1     ,4.3,7.1,15.0,12.9,10.0,8.7,8.0,7.6,AZ
99,Greenlee County,4.8     ,3.8     ,3.3,5.3,18.9,16.4,11.0,7.9,5.6,6.5,AZ
100,La Paz County,6.8     ,5.8     ,5.1,7.7,9.9,10.2,9.9,8.7,8.4,8.0,AZ
101,Maricopa County,4.0     ,3.6     ,3.3,5.4,9.1,9.5,8.6,7.3,6.6,5.9,AZ
102,Mohave County,4.3     ,4.3     ,4.7,7.7,11.4,13.0,12.3,11.0,10.3,8.8,AZ
103,Navajo County,8.1     ,7.4     ,6.4,10.1,15.3,14.7,14.9,14.3,13.6,11.3,AZ
104,Pima County,4.5     ,4.1     ,3.7,5.8,9.1,9.3,8.5,7.4,6.8,6.2,AZ
105,Pinal County,5.6     ,5.0     ,4.6,7.4,12.3,10.7,9.8,8.8,8.3,7.2,AZ
106,Santa Cruz County,8.6     ,7.6     ,7.4,11.0,15.8,15.2,15.5,15.6,15.5,13.2,AZ
107,Yavapai County,4.4     ,4.0     ,3.7,6.2,10.5,10.7,9.9,8.7,7.7,6.3,AZ
108,Yuma County,15.9     ,15.0     ,14.1,18.4,23.0,25.1,24.3,24.1,25.7,23.3,AZ
109,Arkansas County,7.0     ,7.6     ,8.7,9.8,15.7,18.6,12.2,8.8,7.3,5.4,AR
110,Ashley County,8.3     ,7.5     ,8.1,7.6,10.5,10.1,11.2,12.3,11.1,9.4,AR
111,Baxter County,5.6     ,5.3     ,5.4,6.0,9.3,9.4,9.2,8.4,8.0,6.8,AR
112,Benton County,3.2     ,3.3     ,3.7,4.1,6.4,6.6,6.5,6.0,5.7,4.6,AR
113,Boone County,5.1     ,4.9     ,5.1,5.5,7.5,7.8,7.9,7.6,7.1,6.1,AR
114,Bradley County,7.9     ,7.0     ,6.1,7.2,9.8,10.8,12.5,11.1,9.9,8.5,AR
115,Calhoun County,6.9     ,6.9     ,6.7,6.2,8.4,8.8,9.6,9.0,8.2,6.8,AR
116,Carroll County,4.5     ,4.3     ,4.3,4.5,6.1,7.3,7.2,6.3,6.1,5.3,AR
117,Chicot County,10.0     ,8.3     ,8.2,8.3,11.1,12.3,13.2,11.4,11.8,10.6,AR
118,Clark County,6.1     ,5.5     ,5.6,5.9,8.1,8.6,10.4,10.1,9.1,7.0,AR
119,Clay County,8.4     ,8.1     ,9.3,8.1,11.3,11.0,12.2,11.1,9.9,8.1,AR
120,Cleburne County,4.9     ,5.0     ,6.1,5.6,7.5,8.6,9.2,8.5,8.5,8.3,AR
121,Cleveland County,5.9     ,6.1     ,5.7,5.9,8.1,8.4,8.5,7.4,7.7,7.0,AR
122,Columbia County,6.3     ,6.0     ,6.5,7.0,9.7,10.0,10.0,9.0,8.9,7.3,AR
123,Conway County,5.1     ,4.9     ,4.9,5.5,7.5,9.7,9.8,9.0,9.0,7.1,AR
124,Craighead County,4.8     ,4.8     ,5.0,4.9,7.0,7.4,7.4,6.9,6.7,5.5,AR
125,Crawford County,4.4     ,4.5     ,4.9,4.9,7.8,8.2,8.9,8.0,7.8,6.1,AR
126,Crittenden County,6.5     ,6.8     ,6.5,7.9,10.9,10.5,11.0,9.7,8.6,7.3,AR
127,Cross County,7.6     ,7.2     ,7.4,6.8,8.4,8.3,8.4,8.0,7.8,6.6,AR
128,Dallas County,7.0     ,6.5     ,7.0,7.2,10.2,12.3,12.4,11.5,11.0,9.5,AR
129,Desha County,8.7     ,9.1     ,9.9,8.8,11.3,11.1,11.2,10.0,9.9,8.3,AR
130,Drew County,8.5     ,8.0     ,7.4,7.9,11.0,10.9,11.6,10.7,10.0,8.6,AR
131,Faulkner County,4.4     ,4.4     ,4.4,4.8,6.9,7.2,7.2,6.6,6.6,5.7,AR
132,Franklin County,4.3     ,4.3     ,4.5,4.5,7.3,7.7,7.7,7.1,7.0,5.8,AR
133,Fulton County,5.3     ,5.1     ,5.0,5.2,7.5,7.8,7.8,7.2,7.0,6.0,AR
134,Garland County,5.7     ,5.2     ,5.5,5.6,7.6,8.5,8.8,7.9,7.7,6.4,AR
135,Grant County,4.9     ,4.9     ,4.9,5.2,7.1,7.1,7.4,6.8,6.7,5.6,AR
136,Greene County,5.8     ,5.7     ,6.5,6.6,10.1,9.7,9.8,8.8,8.2,6.5,AR
137,Hempstead County,5.8     ,5.4     ,5.9,5.8,8.3,9.3,8.9,7.3,7.4,6.1,AR
138,Hot Spring County,5.3     ,5.2     ,5.3,6.6,8.6,8.6,8.3,7.2,7.4,5.9,AR
139,Howard County,5.6     ,5.4     ,5.4,5.5,8.0,7.8,7.5,6.7,6.5,5.9,AR
140,Independence County,6.1     ,5.5     ,6.2,7.0,8.8,8.8,9.4,9.2,9.1,8.0,AR
141,Izard County,6.4     ,6.2     ,5.9,6.7,9.2,10.1,9.9,8.7,8.7,7.6,AR
142,Jackson County,8.3     ,7.7     ,7.5,7.8,10.9,11.9,11.6,10.7,10.9,9.4,AR
143,Jefferson County,7.6     ,7.8     ,7.5,7.7,9.8,10.4,11.1,10.0,10.4,8.9,AR
144,Johnson County,4.9     ,5.1     ,4.8,4.7,7.2,8.2,7.9,7.4,7.7,6.6,AR
145,Lafayette County,7.4     ,7.0     ,7.5,7.1,9.5,9.9,9.7,9.6,9.9,8.0,AR
146,Lawrence County,7.5     ,6.8     ,6.8,7.1,9.2,9.5,9.9,9.1,9.0,7.4,AR
147,Lee County,10.5     ,9.1     ,9.4,8.5,9.2,8.6,9.7,9.7,9.7,7.9,AR
148,Lincoln County,7.6     ,8.0     ,7.8,8.1,9.9,9.4,9.3,8.7,8.5,7.3,AR
149,Little River County,4.7     ,4.5     ,4.2,3.9,6.0,7.7,7.8,7.3,7.7,6.6,AR
150,Logan County,4.9     ,4.8     ,5.0,6.5,9.2,8.6,8.8,8.0,7.9,6.1,AR
151,Lonoke County,4.5     ,4.2     ,4.4,4.5,6.3,6.8,7.0,6.3,6.2,5.2,AR
152,Madison County,3.7     ,3.6     ,4.1,4.4,6.8,7.1,6.8,5.9,5.9,4.9,AR
153,Marion County,5.2     ,5.2     ,5.4,6.3,11.8,10.1,9.5,8.3,7.8,6.5,AR
154,Miller County,4.8     ,4.6     ,4.5,4.0,5.6,5.8,6.4,6.0,6.6,6.0,AR
155,Mississippi County,8.6     ,7.8     ,7.3,7.7,13.9,12.5,12.1,10.9,11.4,9.3,AR
156,Monroe County,6.7     ,7.2     ,6.7,6.4,8.1,9.2,9.5,9.0,8.8,6.8,AR
157,Montgomery County,4.9     ,4.7     ,5.3,5.7,7.1,8.8,9.3,8.5,8.5,8.1,AR
158,Nevada County,5.8     ,5.5     ,5.7,6.8,9.3,10.0,9.4,7.7,7.7,6.1,AR
159,Newton County,5.1     ,5.2     ,5.1,5.7,8.0,6.9,7.5,7.4,7.1,6.0,AR
160,Ouachita County,7.0     ,8.0     ,7.3,6.4,8.0,9.6,10.5,10.4,9.7,8.1,AR
161,Perry County,5.1     ,5.0     ,4.8,5.6,7.9,8.9,9.3,9.0,9.4,7.7,AR
162,Phillips County,9.1     ,8.1     ,7.3,7.2,9.5,10.5,12.1,11.6,11.6,9.6,AR
163,Pike County,4.8     ,5.0     ,5.6,6.1,7.7,9.1,10.1,9.1,8.9,7.5,AR
164,Poinsett County,6.6     ,6.7     ,7.2,6.4,8.9,9.3,9.5,8.6,8.4,6.9,AR
165,Polk County,5.0     ,4.7     ,4.9,5.2,7.6,7.5,8.1,7.5,7.3,6.4,AR
166,Pope County,4.5     ,4.7     ,4.8,4.9,7.5,7.8,7.9,7.3,7.5,6.4,AR
167,Prairie County,6.0     ,5.6     ,5.7,5.7,7.9,9.2,8.6,7.6,7.1,5.9,AR
168,Pulaski County,4.8     ,4.8     ,4.7,4.8,6.7,7.3,7.4,6.9,6.6,5.6,AR
169,Randolph County,7.8     ,7.2     ,9.3,8.2,9.2,10.2,11.2,10.8,9.6,8.1,AR
170,St. Francis County,8.5     ,8.9     ,9.6,9.4,10.4,10.6,11.2,10.9,10.6,8.9,AR
171,Saline County,4.3     ,4.4     ,4.2,4.5,6.6,6.7,6.7,6.1,5.9,4.9,AR
172,Scott County,4.5     ,4.4     ,4.6,4.8,6.8,7.1,7.1,6.8,6.4,5.2,AR
173,Searcy County,5.0     ,4.7     ,4.9,5.4,7.7,9.2,9.2,8.2,8.0,6.5,AR
174,Sebastian County,4.3     ,4.6     ,5.1,5.0,7.6,8.0,8.7,7.9,7.6,5.8,AR
175,Sevier County,4.2     ,4.0     ,4.1,4.1,5.9,7.0,9.2,8.8,8.3,7.0,AR
176,Sharp County,7.2     ,6.7     ,6.7,7.5,9.2,9.8,10.7,10.1,9.9,8.7,AR
177,Stone County,6.5     ,5.5     ,5.7,6.6,8.8,7.6,9.0,8.4,8.8,8.0,AR
178,Union County,6.9     ,6.6     ,6.8,6.4,10.3,11.3,10.5,9.2,8.6,7.6,AR
179,Van Buren County,6.2     ,6.0     ,5.9,6.6,10.5,11.2,11.0,10.1,9.6,8.2,AR
180,Washington County,3.4     ,3.6     ,3.9,4.2,6.3,6.5,6.3,5.6,5.4,4.4,AR
181,White County,6.3     ,5.7     ,6.6,6.0,8.2,8.2,8.7,7.9,8.0,7.2,AR
182,Woodruff County,9.2     ,8.3     ,8.7,8.0,11.0,10.4,11.0,10.3,9.8,7.8,AR
183,Yell County,4.2     ,4.5     ,4.3,4.5,8.2,8.1,7.4,6.7,6.6,5.6,AR
184,Alameda County,5.1     ,4.4     ,4.7,6.2,10.3,10.9,10.1,8.7,7.3,5.9,CA
185,Alpine County,8.0     ,6.4     ,7.9,10.5,14.1,12.9,12.8,11.3,9.8,8.8,CA
186,Amador County,5.6     ,5.3     ,5.8,7.7,11.4,14.0,13.6,12.3,10.3,8.3,CA
187,Butte County,6.7     ,6.2     ,6.7,8.5,12.3,13.9,13.7,12.2,10.3,8.7,CA
188,Calaveras County,6.2     ,5.9     ,6.4,8.7,13.6,14.5,14.1,12.4,10.0,8.1,CA
189,Colusa County,12.7     ,12.2     ,11.8,13.8,17.6,20.8,21.2,20.7,19.0,17.5,CA
190,Contra Costa County,4.8     ,4.3     ,4.7,6.2,10.0,11.0,10.3,9.0,7.5,6.2,CA
191,Del Norte County,7.4     ,6.9     ,7.5,8.8,11.8,13.3,13.3,13.6,11.8,10.2,CA
192,El Dorado County,4.8     ,4.6     ,5.2,7.0,10.9,12.2,11.7,10.2,8.5,7.0,CA
193,Fresno County,9.0     ,8.0     ,8.6,10.6,14.7,16.7,16.5,15.2,13.2,11.6,CA
194,Glenn County,8.4     ,8.0     ,8.8,10.5,14.1,15.5,15.6,14.2,12.1,10.7,CA
195,Humboldt County,6.1     ,5.5     ,5.9,7.3,10.7,10.6,10.6,9.6,8.2,6.8,CA
196,Imperial County,16.0     ,15.4     ,18.1,22.6,27.4,29.1,29.1,27.4,24.9,23.6,CA
197,Inyo County,4.9     ,4.6     ,4.9,6.6,9.0,9.7,9.7,9.1,7.9,7.0,CA
198,Kern County,8.4     ,7.5     ,8.2,9.8,14.1,15.6,14.8,13.2,11.7,10.4,CA
199,Kings County,9.4     ,8.4     ,8.7,10.6,14.2,16.1,15.9,14.9,13.5,12.1,CA
200,Lake County,7.9     ,7.7     ,8.4,10.7,15.0,15.3,14.7,12.9,10.8,8.9,CA
201,Lassen County,8.0     ,7.9     ,8.2,9.6,12.3,14.0,13.5,12.4,10.6,9.3,CA
202,Los Angeles County,5.4     ,4.8     ,5.1,7.6,11.6,12.5,12.2,10.9,9.8,8.3,CA
203,Madera County,7.9     ,7.0     ,7.5,9.5,13.4,16.6,16.2,14.5,12.5,11.0,CA
204,Marin County,3.9     ,3.5     ,3.7,4.7,7.5,7.8,7.3,6.3,5.2,4.3,CA
205,Mariposa County,6.4     ,5.7     ,6.0,7.5,10.3,12.9,13.1,12.2,10.5,8.8,CA
206,Mendocino County,5.7     ,5.2     ,5.5,6.9,10.0,11.6,11.4,10.0,8.2,6.9,CA
207,Merced County,10.0     ,9.4     ,10.1,12.6,16.6,18.0,17.7,16.4,14.5,12.8,CA
208,Modoc County,7.9     ,7.8     ,8.1,9.7,12.1,15.2,15.9,14.4,12.4,10.5,CA
209,Mono County,4.8     ,4.4     ,4.8,5.9,8.8,10.2,10.0,10.3,8.5,7.2,CA
210,Monterey County,7.3     ,6.9     ,7.1,8.5,11.5,12.7,12.7,11.6,10.3,9.1,CA
211,Napa County,4.4     ,3.9     ,4.0,5.1,8.4,10.3,9.7,8.4,6.8,5.6,CA
212,Nevada County,4.8     ,4.4     ,4.8,6.6,10.3,11.7,11.1,9.7,8.1,6.6,CA
213,Orange County,3.7     ,3.4     ,3.9,5.3,8.7,9.7,9.0,7.8,6.5,5.5,CA
214,Placer County,4.3     ,4.2     ,4.8,6.5,10.2,11.6,10.8,9.4,7.7,6.3,CA
215,Plumas County,8.4     ,7.7     ,8.5,10.6,15.4,18.2,17.5,16.1,13.9,11.7,CA
216,Riverside County,5.4     ,5.0     ,6.0,8.6,13.1,13.8,13.2,11.6,9.9,8.2,CA
217,Sacramento County,4.9     ,4.8     ,5.4,7.2,11.0,12.6,12.1,10.5,8.9,7.3,CA
218,San Benito County,8.1     ,7.2     ,7.2,9.7,14.0,15.1,14.5,13.1,11.1,9.3,CA
219,San Bernardino County,5.2     ,4.8     ,5.6,8.0,12.7,13.5,12.9,11.4,9.8,8.1,CA
220,San Diego County,4.3     ,4.0     ,4.6,6.0,9.4,10.7,10.3,9.1,7.8,6.4,CA
221,San Francisco County,5.0     ,4.2     ,4.2,5.3,8.7,8.9,8.1,6.8,5.5,4.4,CA
222,San Joaquin County,7.9     ,7.4     ,8.1,10.4,14.9,16.5,16.2,14.4,12.4,10.6,CA
223,San Luis Obispo County,4.3     ,3.9     ,4.3,5.8,8.8,10.0,9.5,8.2,6.8,5.6,CA
224,San Mateo County,4.2     ,3.7     ,3.8,4.9,8.2,8.4,7.5,6.4,5.2,4.2,CA
225,Santa Barbara County,4.3     ,4.0     ,4.4,5.5,8.2,9.7,9.3,8.3,7.1,6.1,CA
226,Santa Clara County,5.3     ,4.5     ,4.7,6.0,10.6,10.4,9.3,7.9,6.5,5.2,CA
227,Santa Cruz County,6.3     ,5.6     ,5.9,7.4,11.1,13.3,13.1,11.8,10.3,8.7,CA
228,Shasta County,7.2     ,6.6     ,7.5,10.1,14.3,16.8,16.0,14.2,11.8,9.7,CA
229,Sierra County,8.3     ,7.4     ,8.0,10.6,14.9,15.3,14.8,14.3,12.9,10.0,CA
230,Siskiyou County,9.0     ,8.0     ,8.5,10.2,14.2,16.9,17.0,15.6,13.2,11.3,CA
231,Solano County,5.3     ,4.9     ,5.3,6.9,10.4,12.5,12.1,10.6,9.0,7.5,CA
232,Sonoma County,4.4     ,4.0     ,4.3,5.8,9.4,10.7,10.1,8.8,7.0,5.6,CA
233,Stanislaus County,8.4     ,8.0     ,8.7,11.1,15.5,16.9,16.5,14.9,12.9,11.2,CA
234,Sutter County,9.6     ,8.9     ,9.7,12.4,16.5,18.4,18.2,16.8,14.6,12.7,CA
235,Tehama County,6.9     ,6.5     ,7.2,9.2,13.6,15.5,15.0,13.8,11.7,9.7,CA
236,Trinity County,10.2     ,9.9     ,10.4,12.8,16.8,17.0,16.6,14.6,12.1,9.9,CA
237,Tulare County,9.4     ,8.5     ,9.2,10.8,14.9,17.2,17.1,16.2,14.4,13.2,CA
238,Tuolumne County,6.4     ,5.8     ,6.2,8.0,12.2,15.2,14.5,13.0,10.8,8.7,CA
239,Ventura County,4.7     ,4.3     ,4.9,6.3,9.6,10.8,10.2,9.1,7.9,6.7,CA
240,Yolo County,5.5     ,5.2     ,5.7,7.4,11.0,12.2,11.8,10.7,9.1,7.7,CA
241,Yuba County,9.0     ,8.8     ,9.3,11.9,16.8,17.8,17.0,15.4,13.1,11.2,CA
242,Adams County,5.7     ,4.8     ,4.2,5.4,8.5,10.0,9.8,9.3,8.0,5.7,CO
243,Alamosa County,5.5     ,4.6     ,4.0,5.2,6.3,9.0,9.5,10.2,9.4,7.1,CO
244,Arapahoe County,5.1     ,4.3     ,3.7,4.9,7.3,8.6,8.2,7.6,6.5,4.9,CO
245,Archuleta County,5.1     ,4.1     ,3.8,5.1,7.5,10.6,10.0,9.8,8.6,6.0,CO
246,Baca County,3.8     ,3.1     ,2.5,3.4,3.7,4.9,4.7,4.5,4.1,2.8,CO
247,Bent County,6.3     ,5.6     ,4.8,6.2,6.5,8.1,8.1,8.2,7.5,5.3,CO
248,Boulder County,4.4     ,3.7     ,3.3,4.1,6.1,7.0,6.4,6.1,5.4,4.1,CO
249,Broomfield County/city,4.8     ,4.3     ,3.5,4.5,6.9,7.4,6.9,6.5,5.8,4.3,CO
